Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,Comment
522,Madison-,147.030000,+,0.600000,TSQL,79.7,79.7,23,NN,23,Tone->Tone,FM,"VA S04 | Link, AllStar, Wide | https://tinyurl.com/24d35f83"
523,Marion-K,146.640000,-,0.600000,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,"VA S04 | Wide, Nets | https://tinyurl.com/27bwwgmr"
524,Norton-H,443.737500,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/26hsvtnd
525,Powhatan,147.315000,+,0.600000,TSQL,74.4,74.4,23,NN,23,Tone->Tone,FM,VA S04 | Wide | https://tinyurl.com/2cq5alzn
526,SthHl-Co,145.470000,-,0.600000,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/27dr3kgt
527,Staunton,145.170000,-,0.600000,TSQL,123.0,123.0,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/27shhefh
528,Staunton,444.200000,+,5.000000,TSQL,123.0,123.0,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/23bkty7c
529,Vesta-Lo,444.700000,+,5.000000,,88.5,88.5,23,NN,23,Tone->Tone,FM,VA S04 | Sys | https://tinyurl.com/22yxdw2y
530,Barnesvi,147.225000,+,0.600000,,88.5,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/23ascu4s
531,Dallas-W,146.955000,-,0.600000,TSQL,77.0,77.0,23,NN,23,Tone->Tone,FM,"GA S03 | Link, EchoLink, Nets | https://tinyurl.com/22b5xlok"
532,Folkston,146.790000,-,0.600000,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,"GA S03 | Link, AllStar+EchoLink | https://tinyurl.com/2ywobown"
533,Morganto,147.165000,+,0.600000,Tone,151.4,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/2cbnxfvn
534,Nicholls,145.250000,-,0.600000,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/26hg2zm2
535,Roswell-,147.060000,+,0.600000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"GA S03 | Link, EchoLink, Wide | https://tinyurl.com/24f8ypyt"
536,Benton-K,146.805000,-,0.600000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/25hrenwt
537,Dixon-WX,146.970000,-,0.600000,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,"IL S03 | Link, EchoLink, Wide | https://tinyurl.com/234a8l9s"
538,MountCar,442.325000,+,5.000000,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/22jw6c48
539,Virden-K,147.090000,+,0.600000,TSQL,94.8,94.8,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/27pmbgoa
540,Woodstoc,146.835000,-,0.600000,TSQL,91.5,91.5,23,NN,23,Tone->Tone,FM,"IL S03 | Wide, Nets | https://tinyurl.com/2975yga3"
541,FortWayn,146.880000,-,0.600000,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,"IN S03 | Wide, Nets | https://tinyurl.com/28asjk5p"
542,Lebanon-,147.105000,+,0.600000,Tone,77.0,88.5,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/2au4vo97
543,Leopold-,145.190000,-,0.600000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/28o7bunc
544,Middlebu,146.640000,-,0.600000,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,"IN S03 | Link, EchoLink, Wide | https://tinyurl.com/26r8h7d5"
545,Peru-K9Z,147.345000,+,0.600000,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,"IN S03 | Link, EchoLink, Nets | https://tinyurl.com/2yktn77s"
546,Reynolds,147.255000,+,0.600000,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/24gft5jr
547,ShelbyVl,145.480000,-,0.600000,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/2asqa7s6
548,Vincenne,443.675000,+,5.000000,TSQL,91.5,91.5,23,NN,23,Tone->Tone,FM,IN S03 | Wide | https://tinyurl.com/25mxgs57
549,Brooks-W,146.700000,-,0.600000,TSQL,79.7,79.7,23,NN,23,Tone->Tone,FM,"KY S03 | Link, AllStar+EchoLink, Nets | https://tinyurl.com/2djdyvmg"
550,DanVll-P,145.310000,-,0.600000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,KY S03 | Wide | https://tinyurl.com/23cjrapj
551,Gastonia,147.120000,+,0.600000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,"NC S03 | Link, EchoLink | https://tinyurl.com/2b39myw5"
552,Wilson-W,444.900000,+,5.000000,Tone,179.9,88.5,23,NN,23,Tone->Tone,FM,"NC S03 | Link, EchoLink | https://tinyurl.com/23n5d4hz"
553,Canton-C,147.120000,+,0.600000,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,"OH S03 | Link, Wide | https://tinyurl.com/24b92gy8"
554,Cncnti-M,146.880000,-,0.600000,TSQL,123.0,123.0,23,NN,23,Tone->Tone,FM,"OH S03 | Link, EchoLink, Wide | https://tinyurl.com/2co9mkaz"
555,London-K,147.285000,+,0.600000,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,"OH S03 | Link, EchoLink | https://tinyurl.com/2asr4jz9"
556,Wapakone,442.150000,+,5.000000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,OH S03 | Link | https://tinyurl.com/22jmo9rc
557,BeanStat,443.450000,+,5.000000,TSQL,156.7,156.7,23,NN,23,Tone->Tone,FM,TN S03 | Wide | https://tinyurl.com/2a7npvjw
558,Jonesbor,443.100000,+,5.000000,TSQL,118.8,118.8,23,NN,23,Tone->Tone,FM,"TN S03 | Link, AllStar+EchoLink, Wide | https://tinyurl.com/248dkter"
559,Amherst-,145.490000,-,0.600000,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,VA S03 | Wide | https://tinyurl.com/2czjahat
560,CarnesVl,146.895000,-,0.600000,TSQL,100.0,100.0,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/23ddk4eg
561,ClarkesV,145.390000,-,0.600000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/23hpo5re
562,Claxton-,147.075000,+,0.600000,Tone,123.0,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/265s3v55
563,Ellersli,441.975000,+,5.000000,Tone,67.0,88.5,23,NN,23,Tone->Tone,FM,"GA S03 | Link, AllStar | https://tinyurl.com/236nb9q5"
564,Evans-K4,146.985000,-,0.600000,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,"GA S03 | Link, EchoLink, Wide, Nets | https://tinyurl.com/29o2lojg"
565,Newnan-K,145.130000,-,0.600000,Tone,156.7,88.5,23,NN,23,Tone->Tone,FM,"GA S03 | Link, EchoLink, Wide | https://tinyurl.com/2382lmcf"
566,Perry-Ho,146.955000,-,0.600000,Tone,107.2,88.5,23,NN,23,Tone->Tone,FM,"GA S03 | Link, EchoLink | https://tinyurl.com/2de8z7ym"
567,SnellVll,147.075000,+,0.600000,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,"GA S03 | Link, EchoLink, Wide | https://tinyurl.com/2cnyuxvz"
568,SummerVl,147.225000,+,0.600000,Tone,100.0,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/2a7ujh6q
569,Sumner-W,444.800000,+,5.000000,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,GA S03 | Wide | https://tinyurl.com/28edc6uw
570,Allerton,147.285000,+,0.600000,TSQL,146.2,146.2,23,NN,23,Tone->Tone,FM,IL S03 | Wide | https://tinyurl.com/2abgmjt8
