Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
134,Pinebluf,462.600000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Moore | Pinebluff, Pinebluff Community Center | WSMI291",,,,
135,Rockwell,462.600000,+,5.000000,DTCS,88.5,88.5,311,NN,311,Tone->Tone,FM,5.00,,10W,NC | Rowan | Rockwell | WROZ828,,,,
136,Tarboro,462.600000,+,5.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Edgecombe | Tarboro, DSS 6 story building | WQYS795",,,,
137,Barnards,462.625000,+,5.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Buncombe | Barnardsville | WSLU981,,,,
138,Burlingt,462.625000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Alamance | Burlington | WRKH438,,,,
139,ChapelHi,462.625000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Orange | Chapel Hill, Old Bcbs Building/wegmans | WRVP232",,,,
140,FairBluf,462.625000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Columbus | Fair Bluff | WSLE322,,,,
141,Faith,462.625000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Rowan | Faith,,,,
142,Hamlet,462.625000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Richmond | Hamlet | WQLP990,,,,
143,Henderso,462.625000,+,5.000000,DTCS,88.5,88.5,073,NN,073,Tone->Tone,FM,5.00,,10W,"NC | Vance | Henderson, Tower | WPTP281",,,,
144,Hubert,462.625000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Onslow | Hubert | WQEN357,,,,
145,Rockingh,462.625000,+,5.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Richmond | Rockingham | WRPN591,,,,
146,Ashevill,462.650000,+,5.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Buncombe | Asheville, Bearwallow Mnt | WRWW487",,,,
147,Engelhar,462.650000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Hyde | Engelhard | WRZJ725,,,,
148,HighPoin,462.650000,+,5.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Guilford | High Point, High Point | WQLP990",,,,
149,Sanford,462.650000,+,5.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Chatham | Sanford, Pittsboro Fire Station #3 | KAF8172",,,,
150,Taylorsv,462.650000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Alexander | Taylorsville, Linney's Mountain 650 | WRJM341",,,,
151,Alexande,462.675000,+,5.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Buncombe | Alexander | WRWV913,,,,
152,Apex,462.675000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wake | Apex | WRHS260,,,,
153,ForestCi,462.675000,+,5.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,FM,5.00,,10W,"NC | Rutherford | Forest City, Cherry Mountain | WRKZ485",,,,
154,Greensbo,462.675000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Guilford | Greensboro | WRKH438,,,,
155,Hertford,462.675000,+,5.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Perquimans | Hertford | WRZJ725,,,,
156,Marion,462.675000,+,5.000000,TSQL,210.7,210.7,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | McDowell | Marion, Grant's Mountain | WRZZ589",,,,
157,Mccain,462.675000,+,5.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Moore | Mccain | WRPE796,,,,
158,Statesvi,462.675000,+,5.000000,TSQL,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Iredell | Statesville, Statesville Airport | WRAX810",,,,
159,Wilkesbo,462.675000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Wilkes | Wilkesboro, LITTLE BUSHY MOUNTAIN | WRPN236",,,,
160,Chocowin,462.700000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Beaufort | Chocowinty, Twinlakes | WRWE772",,,,
161,Fletcher,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Henderson | Fletcher | WQXC776 | Fletcher-700 / net Sat 8PM (WNC Radio Project list),,,,
162,Goldsbor,462.700000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Wayne | Goldsboro | WROU784,,,,
163,Graham,462.700000,+,5.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,10W,NC | Alamance | Graham | WQLP990,,,,
164,Greenvil,462.700000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,10W,"NC | Pitt | Greenville, Pactolus | WRWE772",,,,
